Date,Import,Export
Jan-06,"12,519.71","9,143.66"
Feb-06,"11,479.69","8,993.29"
Mar-06,"14,314.02","11,560.97"
Apr-06,"12,924.18","8,624.66"
May-06,"15,105.67","10,109.30"
Jun-06,"14,399.73","10,419.60"
Jul-06,"14,985.01","10,599.73"
Aug-06,"15,326.36","10,769.09"
Sep-06,"17,350.69","10,756.49"
Oct-06,"17,512.02","9,928.18"
Nov-06,"16,380.87","9,978.98"
Dec-06,"15,679.22","10,834.07"
Jan-07,"14,446.56","10,966.59"
Feb-07,"14,484.40","10,560.78"
Mar-07,"17,136.21","12,862.02"
Apr-07,"18,370.24","11,326.44"
May-07,"21,149.16","12,455.34"
Jun-07,"21,138.69","12,484.12"
Jul-07,"21,128.23","12,512.90"
Aug-07,"20,365.52","12,640.18"
Sep-07,"18,217.10","12,521.04"
Oct-07,"21,832.21","14,674.34"
Nov-07,"22,103.79","12,908.94"
Dec-07,"20,116.53","14,625.07"
Jan-08,"22,844.02","14,888.68"
Feb-08,"21,933.98","15,220.32"
Mar-08,"23,573.31","17,253.61"
Apr-08,"30,316.50","18,459.97"
May-08,"29,443.24","18,686.24"
Jun-08,"28,950.25","19,180.53"
Jul-08,"31,625.09","19,030.04"
Aug-08,"33,522.88","17,758.93"
Sep-08,"31,135.37","15,788.70"
Oct-08,"25,868.92","14,130.47"
Nov-08,"23,487.81","11,162.90"
Dec-08,"19,455.95","13,367.80"
Jan-09,"18,227.82","12,868.65"
Feb-09,"15,061.87","11,940.57"
Mar-09,"16,596.28","12,915.96"
Apr-09,"19,340.37","12,475.32"
May-09,"20,036.04","12,316.09"
Jun-09,"23,054.61","13,605.89"
Jul-09,"21,723.09","14,340.87"
Aug-09,"22,448.31","13,585.95"
Sep-09,"21,526.84","14,623.85"
Oct-09,"25,935.46","14,805.64"
Nov-09,"24,996.13","14,932.30"
Dec-09,"28,251.07","16,493.07"
Jan-10,"25,266.66","15,556.67"
Feb-10,"26,163.47","15,757.36"
Mar-10,"29,626.51","20,253.75"
Apr-10,"31,674.58","18,138.72"
May-10,"29,746.77","17,281.58"
Jun-10,"28,648.27","20,666.69"
Jul-10,"29,669.53","16,954.08"
Aug-10,"27,107.30","17,713.99"
Sep-10,"29,511.42","18,866.39"
Oct-10,"32,461.33","18,990.32"
Nov-10,"28,841.96","21,497.52"
Dec-10,"31,510.72","23,349.00"
Jan-11,"33,353.23","22,691.39"
Feb-11,"32,973.05","23,243.08"
Mar-11,"34,266.61","30,418.10"
Apr-11,"36,595.51","23,469.13"
May-11,"45,253.87","26,521.52"
Jun-11,"40,849.10","26,535.73"
Jul-11,"41,105.51","26,426.14"
Aug-11,"39,984.32","24,767.95"
Sep-11,"39,755.69","26,560.79"
Oct-11,"41,174.69","23,631.62"
Nov-11,"39,102.11","23,269.31"
Dec-11,"40,043.68","25,365.29"
Jan-12,"42,952.10","25,378.65"
Feb-12,"40,118.17","25,194.02"
Mar-12,"42,380.31","28,838.95"
Apr-12,"38,170.67","23,791.45"
May-12,"42,186.94","24,821.03"
Jun-12,"36,157.00","24,923.86"
Jul-12,"40,619.07","23,099.47"
Aug-12,"37,306.89","23,134.07"
Sep-12,"42,051.08","24,901.60"
Oct-12,"44,243.38","24,032.50"
Nov-12,"40,453.64","23,250.54"
Dec-12,"43,050.20","25,457.13"
Jan-13,"44,754.31","25,774.78"
Feb-13,"40,791.61","26,668.27"
Mar-13,"40,947.39","30,541.02"
Apr-13,"41,576.78","24,524.13"
May-13,"43,986.72","24,922.53"
Jun-13,"35,303.98","23,998.00"
Jul-13,"38,326.07","25,834.67"
Aug-13,"37,025.65","26,337.57"
Sep-13,"34,257.88","28,135.49"
Oct-13,"38,074.64","27,479.72"
Nov-13,"33,772.55","24,201.43"
Dec-13,"36,579.72","26,392.66"
Jan-14,"36,345.95","26,891.16"
Feb-14,"33,651.34","25,342.40"
Mar-14,"41,294.04","30,340.62"
Apr-14,"35,795.27","26,031.97"
May-14,"39,058.48","27,996.34"
Jun-14,"38,352.02","25,903.95"
Jul-14,"40,067.63","25,792.28"
Aug-14,"37,472.41","26,803.07"
Sep-14,"43,341.37","28,867.30"
Oct-14,"39,468.38","25,890.98"
Nov-14,"42,722.12","26,485.29"
Dec-14,"35,332.89","26,154.05"
Jan-15,"32,265.00","24,393.17"
Feb-15,"28,725.01","21,983.03"
Mar-15,"35,428.35","24,032.13"
Apr-15,"33,506.13","22,136.81"
May-15,"32,837.39","22,528.67"
Jun-15,"33,535.86","22,323.32"
Jul-15,"36,371.69","23,280.79"
Aug-15,"33,981.35","21,582.27"
Sep-15,"32,036.07","21,869.91"
Oct-15,"31,147.95","21,455.71"
Nov-15,"29,896.04","19,560.52"
Dec-15,"34,096.12","22,592.95"
Jan-16,"28,866.15","21,198.62"
Feb-16,"27,418.61","20,845.31"
Mar-16,"27,309.91","22,911.33"
Apr-16,"25,688.82","20,863.06"
May-16,"28,285.86","22,406.62"
Jun-16,"30,916.64","22,655.17"
Jul-16,"29,304.88","21,691.86"
Aug-16,"29,302.82","21,596.68"
Sep-16,"31,840.11","22,768.67"
Oct-16,"34,494.72","23,360.20"
Nov-16,"33,461.50","20,065.86"
Dec-16,"34,602.10","24,056.07"
Jan-17,"32,260.77","22,355.91"
Feb-17,"34,248.07","24,726.30"
Mar-17,"39,946.30","29,301.13"
Apr-17,"38,834.27","24,578.60"
May-17,"38,278.36","23,946.62"
Jun-17,"37,054.65","23,012.24"
Jul-17,"34,214.66","22,292.22"
Aug-17,"36,070.24","23,354.69"
Sep-17,"37,962.28","28,566.67"
Oct-17,"37,501.05","22,888.28"
Nov-17,"41,389.80","26,292.23"
Dec-17,"42,030.40","27,832.14"
Jan-18,"41,082.93","25,408.95"
Feb-18,"38,335.05","26,032.47"
Mar-18,"42,822.69","29,316.00"
Apr-18,"39,966.57","25,949.04"
May-18,"43,916.88","28,944.54"
Jun-18,"44,806.20","27,157.65"
Jul-18,"44,387.68","25,753.80"
Aug-18,"45,730.72","27,807.88"
Sep-18,"42,819.20","27,865.54"
Oct-18,"44,677.50","26,673.52"
Nov-18,"43,654.80","26,071.13"
Dec-18,"42,350.63","27,857.86"
Jan-19,"41,454.91","26,408.97"
Feb-19,"36,590.02","26,865.68"
Mar-19,"43,718.65","32,717.30"
Apr-19,"42,361.61","26,023.18"
May-19,"46,618.80","29,854.24"
Jun-19,"40,941.24","24,990.77"
Jul-19,"39,773.89","26,217.50"
Aug-19,"39,558.33","26,133.50"
Sep-19,"37,346.35","26,086.02"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
